language,bad_word
Arabic,سكس
Arabic,طيز
Arabic,شرج
Arabic,لعق
Arabic,لحس
Arabic,مص
Arabic,تمص
Arabic,بيضان
Arabic,ثدي
Arabic,بز
Arabic,بزاز
Arabic,حلمة
Arabic,مفلقسة
Arabic,بظر
Arabic,كس
Arabic,فرج
Arabic,شهوة
Arabic,شاذ
Arabic,مبادل
Arabic,عاهرة
Arabic,جماع
Arabic,قضيب
Arabic,زب
Arabic,لوطي
Arabic,لواط
Arabic,سحاق
Arabic,سحاقية
Arabic,اغتصاب
Arabic,خنثي
Arabic,احتلام
Arabic,نيك
Arabic,متناك
Arabic,متناكة
Arabic,شرموطة
Arabic,عرص
Arabic,خول
Arabic,قحبة
Arabic,لبوة
Chinese,13.
Chinese,13点
Chinese,三级片
Chinese,下三烂
Chinese,下贱
Chinese,个老子的
Chinese,九游
Chinese,乳
Chinese,乳交
Chinese,乳头
Chinese,乳房
Chinese,乳波臀浪
Chinese,交配
Chinese,仆街
Chinese,他奶奶
Chinese,他奶奶的
Chinese,他奶娘的
Chinese,他妈
Chinese,他妈ㄉ王八蛋
Chinese,他妈地
Chinese,他妈的
Chinese,他娘
Chinese,他马的
Chinese,你个傻比
Chinese,你他马的
Chinese,你全家
Chinese,你奶奶的
Chinese,你她马的
Chinese,你妈
Chinese,你妈的
Chinese,你娘
Chinese,你娘卡好
Chinese,你娘咧
Chinese,你它妈的
Chinese,你它马的
Chinese,你是鸡
Chinese,你是鸭
Chinese,你马的
Chinese,做爱
Chinese,傻比
Chinese,傻逼
Chinese,册那
Chinese,军妓
Chinese,几八
Chinese,几叭
Chinese,几巴
Chinese,几芭
Chinese,刚度
Chinese,刚瘪三
Chinese,包皮
Chinese,十三点
Chinese,卖B
Chinese,卖比
Chinese,卖淫
Chinese,卵
Chinese,卵子
Chinese,双峰微颤
Chinese,口交
Chinese,口肯
Chinese,叫床
Chinese,吃屎
Chinese,后庭
Chinese,吹箫
Chinese,塞你公
Chinese,塞你娘
Chinese,塞你母
Chinese,塞你爸
Chinese,塞你老师
Chinese,塞你老母
Chinese,处女
Chinese,外阴
Chinese,大卵子
Chinese,大卵泡
Chinese,大鸡巴
Chinese,奶
Chinese,奶奶的熊
Chinese,奶子
Chinese,奸
Chinese,奸你
Chinese,她妈地
Chinese,她妈的
Chinese,她马的
Chinese,妈B
Chinese,妈个B
Chinese,妈个比
Chinese,妈个老比
Chinese,妈妈的
Chinese,妈比
Chinese,妈的
Chinese,妈的B
Chinese,妈逼
Chinese,妓
Chinese,妓女
Chinese,妓院
Chinese,妳她妈的
Chinese,妳妈的
Chinese,妳娘的
Chinese,妳老母的
Chinese,妳马的
Chinese,姘头
Chinese,姣西
Chinese,姦
Chinese,娘个比
Chinese,娘的
Chinese,婊子
Chinese,婊子养的
Chinese,嫖娼
Chinese,嫖客
Chinese,它妈地
Chinese,它妈的
Chinese,密洞
Chinese,射你
Chinese,射精
Chinese,小乳头
Chinese,小卵子
Chinese,小卵泡
Chinese,小瘪三
Chinese,小肉粒
Chinese,小骚比
Chinese,小骚货
Chinese,小鸡巴
Chinese,小鸡鸡
Chinese,屁眼
Chinese,屁股
Chinese,屄
Chinese,屌
Chinese,巨乳
Chinese,干x娘
Chinese,干七八
Chinese,干你
Chinese,干你妈
Chinese,干你娘
Chinese,干你老母
Chinese,干你良
Chinese,干妳妈
Chinese,干妳娘
Chinese,干妳老母
Chinese,干妳马
Chinese,干您娘
Chinese,干机掰
Chinese,干死CS
Chinese,干死GM
Chinese,干死你
Chinese,干死客服
Chinese,幹
Chinese,强奸
Chinese,强奸你
Chinese,性
Chinese,性交
Chinese,性器
Chinese,性无能
Chinese,性爱
Chinese,情色
Chinese,想上你
Chinese,懆您妈
Chinese,懆您娘
Chinese,懒8
Chinese,懒八
Chinese,懒叫
Chinese,懒教
Chinese,成人
Chinese,我操你祖宗十八代
Chinese,扒光
Chinese,打炮
Chinese,打飞机
Chinese,抽插
Chinese,招妓
Chinese,插你
Chinese,插死你
Chinese,撒尿
Chinese,操你
Chinese,操你全家
Chinese,操你奶奶
Chinese,操你妈
Chinese,操你娘
Chinese,操你祖宗
Chinese,操你老妈
Chinese,操你老母
Chinese,操妳
Chinese,操妳全家
Chinese,操妳妈
Chinese,操妳娘
Chinese,操妳祖宗
Chinese,操机掰
Chinese,操比
Chinese,操逼
Chinese,放荡
Chinese,日他娘
Chinese,日你
Chinese,日你妈
Chinese,日你老娘
Chinese,日你老母
Chinese,日批
Chinese,月经
Chinese,机八
Chinese,机巴
Chinese,机机歪歪
Chinese,杂种
Chinese,浪叫
Chinese,淫
Chinese,淫乱
Chinese,淫妇
Chinese,淫棍
Chinese,淫水
Chinese,淫秽
Chinese,淫荡
Chinese,淫西
Chinese,湿透的内裤
Chinese,激情
Chinese,灨你娘
Chinese,烂货
Chinese,烂逼
Chinese,爛
Chinese,狗屁
Chinese,狗日
Chinese,狗狼养的
Chinese,玉杵
Chinese,王八蛋
Chinese,瓜娃子
Chinese,瓜婆娘
Chinese,瓜批
Chinese,瘪三
Chinese,白烂
Chinese,白痴
Chinese,白癡
Chinese,祖宗
Chinese,私服
Chinese,笨蛋
Chinese,精子
Chinese,老二
Chinese,老味
Chinese,老母
Chinese,老瘪三
Chinese,老骚比
Chinese,老骚货
Chinese,肉壁
Chinese,肉棍子
Chinese,肉棒
Chinese,肉缝
Chinese,肏
Chinese,肛交
Chinese,肥西
Chinese,色情
Chinese,花柳
Chinese,荡妇
Chinese,賤
Chinese,贝肉
Chinese,贱B
Chinese,贱人
Chinese,贱货
Chinese,贼你妈
Chinese,赛你老母
Chinese,赛妳阿母
Chinese,赣您娘
Chinese,轮奸
Chinese,迷药
Chinese,逼
Chinese,逼样
